City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,bertioga,-23.8544,-46.1386,298.14,91,100,3.09,BR,1713216579
315,toliara,-23.35,43.6667,298.43,65,90,6.73,MG,1713216580
316,parham,17.0968,-61.7705,300.39,55,75,2.57,AG,1713216582
317,oarai,36.3167,140.6,286.12,74,100,2.52,JP,1713216583
318,argostolion,38.1811,20.489,294.12,34,100,1.74,GR,1713216584
319,motilla del palancar,39.5709,-1.9068,288.49,84,1,0.45,ES,1713216585
320,praia da vitoria,38.7333,-27.0667,290.79,94,75,9.17,PT,1713216587
321,kodinsk,58.6881,99.1844,276.17,97,100,6.65,RU,1713216435
322,sao jose da coroa grande,-8.8978,-35.1478,299.97,86,42,3.27,BR,1713216589
323,coahuayana de hidalgo,18.7,-103.6583,303.65,50,100,3.33,MX,1713216591
324,manta,-0.95,-80.7333,299.03,89,100,2.06,EC,1713216592
325,port shepstone,-30.7414,30.455,294.64,89,100,6.3,ZA,1713216593
326,bardai,11.65,7.2333,303.54,18,100,3.39,NG,1713216594
327,quepos,9.4236,-84.1652,303.35,63,80,2.72,CR,1713216596
328,rantepao,-2.9701,119.8978,293.24,98,100,0.77,ID,1713216597
329,ancud,-41.8697,-73.8203,286.73,88,11,6.64,CL,1713216598
330,morococha,-11.5997,-76.1411,283.11,44,66,1.75,PE,1713216599
331,south hedland,-20.4089,118.5983,297.11,83,23,3.6,AU,1713216601
332,zima,53.9202,102.0442,279.57,91,100,1.62,RU,1713216476
333,nar'yan-mar,67.6713,53.087,273.21,100,100,4.02,RU,1713216605
334,mpulungu,-8.7623,31.1141,295.64,80,79,3.52,ZM,1713216607
335,trabzon,40.9167,39.8333,282.2,76,0,1.03,TR,1713216608
336,amga,60.8953,131.9608,264.22,91,100,0.93,RU,1713216610
337,oranjemund,-28.55,16.4333,287.74,75,0,0.78,NA,1713216611
338,guiratinga,-16.3494,-53.7583,297.99,77,100,1.57,BR,1713216612
339,mariental,-24.6333,17.9667,292.9,9,75,2.34,NA,1713216613
340,carbonear,47.7332,-53.2148,284.06,77,39,5.52,CA,1713216459
341,lorengau,-2.0226,147.2712,301.97,79,94,3.12,PG,1713216616
342,zouerate,22.7187,-12.4521,302.22,8,0,3.35,MR,1713216617
343,yaren,-0.5472,166.916,301.31,73,95,3.76,NR,1713216619
344,bikenibeu village,1.3673,173.1241,303.13,74,75,2.06,KI,1713216620
345,haiku-pauwela,20.9219,-156.3051,298.17,74,75,9.77,US,1713216621
346,porto belo,-27.1578,-48.5531,297.57,100,100,6.51,BR,1713216619
347,paracuru,-3.41,-39.0306,302.65,86,40,3.21,BR,1713216624
348,alta,69.9689,23.2717,273.74,93,75,1.03,NO,1713216625
349,awjilah,29.1081,21.2869,297.8,17,100,4.98,LY,1713216629
